ticker,company_name,cik,exchange,form_type,filing_date,accession_number,primary_document,market_cap,market_cap_source
MCW,"Mister Car Wash, Inc.",0001853513,NASDAQ,25,2024-12-31,0001193125-24-287175,d919214d25.htm,2387973412.0942583,yahoo_historical
DPZ,DOMINOS PIZZA INC,0001286681,NASDAQ,25,2024-12-31,0001193125-24-287193,d925994d25.htm,13959397497.83435,yahoo_historical
SCCG,Sachem Capital Corp.,0001682220,AMEX,25-NSE,2024-12-30,0001143313-24-000125,xslF25X02/primary_doc.xml,,none
BEPC,Brookfield Renewable Corp,0001791863,NYSE,25-NSE,2024-12-30,0000876661-24-001225,xslF25X02/primary_doc.xml,3882813891.398258,yahoo_historical
BIPC,Brookfield Infrastructure Corp,0001788348,NYSE,25-NSE,2024-12-30,0000876661-24-001222,xslF25X02/primary_doc.xml,4547081297.436401,yahoo_historical
OPHC,"OptimumBank Holdings, Inc.",0001288855,AMEX,25,2024-12-30,0001493152-24-052475,form25.htm,54555550.609992504,yahoo_historical
PBR-A,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639,NYSE,25-NSE,2024-12-27,0000876661-24-001218,xslF25X02/primary_doc.xml,29762707783.844063,yahoo_historical
IVR-PC,Invesco Mortgage Capital Inc.,0001437071,NYSE,25-NSE,2024-12-27,0000876661-24-001214,xslF25X02/primary_doc.xml,2417837486.179352,yahoo_historical
PRIF-PL,"Priority Income Fund, Inc.",0001554625,NYSE,25-NSE,2024-12-23,0001143362-24-000404,xslF25X02/primary_doc.xml,,none
SMR,NUSCALE POWER Corp,0001822966,NYSE,25-NSE,2024-12-19,0000876661-24-001191,xslF25X02/primary_doc.xml,5376854657.557735,yahoo_historical
APTV,Aptiv PLC,0001521332,NYSE,25-NSE,2024-12-18,0000876661-24-001183,xslF25X02/primary_doc.xml,12240898962.861015,yahoo_historical
TALO,TALOS ENERGY INC.,0001724965,NYSE,25-NSE,2024-12-18,0000876661-24-001187,xslF25X02/primary_doc.xml,1619992951.7681007,yahoo_historical
ZIONP,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",0000109380,NASDAQ,25-NSE,2024-12-16,0001354457-24-000946,xslF25X02/primary_doc.xml,,none
PRGO,PERRIGO Co plc,0001585364,NYSE,25-NSE,2024-12-16,0000876661-24-001171,xslF25X02/primary_doc.xml,3553271797.4622154,yahoo_historical
CB,Chubb Ltd,0000896159,NYSE,25-NSE,2024-12-16,0000876661-24-001169,xslF25X02/primary_doc.xml,107804939545.31125,yahoo_historical
EFC-PD,Ellington Financial Inc.,0001411342,NYSE,25-NSE,2024-12-13,0000876661-24-001160,xslF25X02/primary_doc.xml,,none
ITW,ILLINOIS TOOL WORKS INC,0000049826,NYSE,25-NSE,2024-12-05,0000876661-24-001140,xslF25X02/primary_doc.xml,77442145422.36328,yahoo_historical
